0,338
1,130
2,63
5,168
6,257
7,67
8,155
9,395
10,491
11,93
13,71
14,229
15,258
16,488
17,308
18,416
20,270
21,53
22,128
23,145
24,494
25,456
26,80
27,150
28,169
31,452
33,117
34,409
35,355
36,214
37,69
38,252
39,464
40,368
42,243
43,79
44,122
45,37
46,94
47,475
48,299
49,125
50,50
51,248
52,188
53,419
55,25
56,99
59,31
61,499
63,81
64,449
69,448
70,34
71,324
72,329
73,121
74,250
75,137
76,437
77,403
32,426
65,-1
66,479
3,431
4,314
67,261
68,187
41,186
12,-1
78,-1
79,-1
19,424
54,342
62,231
57,307
58,280
60,87
29,-1
30,219
